neuronsPerLayer,hiddenLayers,gen,score,count
1,1,41,47.0,1
1,1,41,48.0,2
1,1,41,49.0,2
1,1,41,50.0,3
1,1,41,51.0,2
1,1,41,52.0,1
1,1,41,53.0,2
1,1,41,54.0,1
1,1,42,32.0,1
1,1,42,38.0,1
1,1,42,41.0,3
1,1,42,42.0,2
1,1,42,43.0,2
1,1,42,44.0,2
1,1,42,45.0,1
1,1,42,47.0,2
1,1,42,48.0,2
1,1,42,49.0,3
1,1,42,50.0,1
1,1,42,52.0,1
1,1,42,53.0,3
1,1,42,62.0,1
1,1,43,31.0,1
1,1,43,37.0,1
1,1,43,41.0,3
1,1,43,42.0,1
1,1,43,43.0,1
1,1,43,44.0,1
1,1,43,45.0,2
1,1,43,46.0,1
1,1,43,47.0,1
1,1,43,48.0,3
1,1,43,49.0,1
1,1,43,50.0,1
1,1,43,51.0,2
1,1,43,52.0,1
1,1,43,53.0,1
1,1,43,54.0,1
1,1,43,57.0,1
1,1,43,59.0,1
1,1,43,60.0,1
1,1,44,36.0,1
1,1,44,39.0,1
1,1,44,40.0,2
1,1,44,41.0,2
1,1,44,43.0,1
1,1,44,44.0,1
1,1,44,45.0,1
1,1,44,46.0,2
1,1,44,47.0,3
1,1,44,49.0,2
1,1,44,50.0,2
1,1,44,51.0,1
1,1,44,53.0,3
1,1,44,54.0,2
1,1,44,57.0,1
1,1,45,29.0,1
1,1,45,30.0,1
1,1,45,40.0,1
1,1,45,41.0,3
1,1,45,42.0,1
1,1,45,43.0,2
1,1,45,44.0,1
1,1,45,45.0,1
1,1,45,46.0,3
1,1,45,48.0,5
1,1,45,49.0,2
1,1,45,52.0,1
1,1,45,53.0,2
1,1,45,54.0,1
1,1,46,36.0,1
1,1,46,40.0,1
1,1,46,41.0,1
1,1,46,42.0,2
1,1,46,44.0,1
1,1,46,45.0,1
1,1,46,46.0,1
1,1,46,47.0,3
1,1,46,48.0,4
1,1,46,49.0,1
1,1,46,50.0,1
1,1,46,51.0,1
1,1,46,53.0,4
1,1,46,54.0,2
1,1,46,55.0,1
1,1,47,33.0,1
1,1,47,36.0,1
1,1,47,41.0,2
1,1,47,42.0,1
1,1,47,43.0,1
1,1,47,44.0,3
1,1,47,45.0,3
1,1,47,47.0,2
1,1,47,48.0,1
1,1,47,49.0,4
1,1,47,50.0,1
